country,unit,measure,source,year,value
Austria,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,11.6
Belgium,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,21.4
Bulgaria,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,20.7
Croatia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,18.8
Cyprus,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,30.1
Czechia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,16.9
Denmark,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,15.3
Estonia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,11.8
Finland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,14.7
France,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,25.1
Germany,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,
Greece,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,34.1
Hungary,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,14.4
Iceland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,19.3
Ireland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,22.8
Italy,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,21.7
Latvia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,13.9
Lithuania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,16.3
Luxembourg,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,21.1
Malta,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,20.7
Netherlands,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,9.5
Norway,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2019,14.9
